strategy,question,expected,hit_rank,retrieved_sources
vector-only,What does the hidden_layer_sizes parameter configure in MLPClassifier?,neural_networks_supervised.html,1,https://scikit-learn.org/stable/modules/neural_networks_supervised.html;https://scikit-learn.org/stable/modules/neural_networks_supervised.html;https://scikit-learn.org/stable/modules/neural_networks_supervised.html;https://scikit-learn.org/stable/modules/neural_networks_supervised.html
vector-only,"What activation functions does MLPClassifier support, like relu and tanh?",neural_networks_supervised.html,1,https://scikit-learn.org/stable/modules/neural_networks_supervised.html;https://scikit-learn.org/stable/modules/neural_networks_supervised.html;https://scikit-learn.org/stable/modules/neural_networks_supervised.html;https://scikit-learn.org/stable/whats_new/v1.7.html
vector-only,What is OneVsRestClassifier used for in scikit-learn?,multiclass.html,1,https://scikit-learn.org/stable/modules/multiclass.html;https://scikit-learn.org/stable/modules/multiclass.html;https://scikit-learn.org/stable/modules/multiclass.html;https://scikit-learn.org/stable/glossary.html
vector-only,What is CalibratedClassifierCV used for?,calibration.html,1,https://scikit-learn.org/stable/modules/calibration.html;https://scikit-learn.org/stable/modules/calibration.html;https://scikit-learn.org/stable/modules/calibration.html;https://scikit-learn.org/stable/glossary.html
vector-only,What is the difference between sigmoid and isotonic calibration methods?,calibration.html,1,https://scikit-learn.org/stable/modules/calibration.html;https://scikit-learn.org/stable/modules/calibration.html;https://scikit-learn.org/stable/modules/calibration.html;https://scikit-learn.org/stable/modules/calibration.html
vector-only,What does the RFE class do in scikit-learn feature selection?,feature_selection.html,1,https://scikit-learn.org/stable/modules/feature_selection.html;https://scikit-learn.org/stable/testimonials/testimonials.html;https://scikit-learn.org/stable/testimonials/testimonials.html;https://scikit-learn.org/stable/modules/feature_selection.html
vector-only,What is SelectKBest used for in scikit-learn?,feature_selection.html,,https://scikit-learn.org/stable/testimonials/testimonials.html;https://scikit-learn.org/stable/testimonials/testimonials.html;https://scikit-learn.org/stable/support.html;https://scikit-learn.org/stable/auto_examples/decomposition/plot_pca_iris.html
vector-only,What is the difference between LabelPropagation and LabelSpreading?,semi_supervised.html,1,https://scikit-learn.org/stable/modules/semi_supervised.html;https://scikit-learn.org/stable/modules/semi_supervised.html;https://scikit-learn.org/stable/modules/semi_supervised.html;https://scikit-learn.org/stable/modules/neural_networks_supervised.html
fts-only,What does the ccp_alpha parameter control in DecisionTreeClassifier?,tree.html,,
fts-only,What is the max_leaf_nodes parameter in scikit-learn decision trees?,tree.html,,
fts-only,What does n_estimators control in RandomForestClassifier?,ensemble.html,1,https://scikit-learn.org/stable/modules/ensemble.html
fts-only,What is the difference between GradientBoostingClassifier and HistGradientBoostingClassifier?,ensemble.html,1,https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/modules/ensemble.html
fts-only,What does the learning_rate parameter do in AdaBoostClassifier?,ensemble.html,1,https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/modules/ensemble.html
fts-only,What does the C parameter control in SVC?,svm.html,1,https://scikit-learn.org/stable/modules/svm.html;https://scikit-learn.org/stable/modules/svm.html
fts-only,What is the rbf kernel in scikit-learn's SVC class?,svm.html,1,https://scikit-learn.org/stable/modules/svm.html
fts-only,What is the gamma parameter in an SVC with an rbf kernel?,svm.html,1,https://scikit-learn.org/stable/modules/svm.html;https://scikit-learn.org/stable/modules/grid_search.html
fts-only,What does the loss='hinge' setting mean for SGDClassifier?,sgd.html,,
fts-only,What does the l1_ratio parameter control in SGDClassifier?,sgd.html,1,https://scikit-learn.org/stable/modules/sgd.html;https://scikit-learn.org/stable/modules/sgd.html;https://scikit-learn.org/stable/computing/computational_performance.html
fts-only,What is the n_neighbors parameter in KNeighborsClassifier?,neighbors.html,,
fts-only,"What is the difference between GaussianNB, MultinomialNB, and BernoulliNB?",naive_bayes.html,,
fts-only,What does the alpha parameter control in Ridge regression?,linear_model.html,1,https://scikit-learn.org/stable/modules/linear_model.html;https://scikit-learn.org/stable/modules/svm.html
fts-only,What is LogisticRegressionCV in scikit-learn?,linear_model.html,,
fts-only,What does the hidden_layer_sizes parameter configure in MLPClassifier?,neural_networks_supervised.html,,
fts-only,"What activation functions does MLPClassifier support, like relu and tanh?",neural_networks_supervised.html,,
fts-only,What is OneVsRestClassifier used for in scikit-learn?,multiclass.html,,
fts-only,What is CalibratedClassifierCV used for?,calibration.html,1,https://scikit-learn.org/stable/modules/calibration.html;https://scikit-learn.org/stable/modules/grid_search.html;https://scikit-learn.org/stable/modules/calibration.html;https://scikit-learn.org/stable/modules/calibration.html
fts-only,What is the difference between sigmoid and isotonic calibration methods?,calibration.html,1,https://scikit-learn.org/stable/modules/calibration.html
fts-only,What does the RFE class do in scikit-learn feature selection?,feature_selection.html,,
fts-only,What is SelectKBest used for in scikit-learn?,feature_selection.html,1,https://scikit-learn.org/stable/modules/feature_selection.html
fts-only,What is the difference between LabelPropagation and LabelSpreading?,semi_supervised.html,1,https://scikit-learn.org/stable/modules/semi_supervised.html
hybrid-rrf,What does the ccp_alpha parameter control in DecisionTreeClassifier?,tree.html,1,https://scikit-learn.org/stable/modules/tree.html;https://scikit-learn.org/stable/modules/tree.html;https://scikit-learn.org/stable/modules/tree.html;https://scikit-learn.org/stable/modules/impute.html
hybrid-rrf,What is the max_leaf_nodes parameter in scikit-learn decision trees?,tree.html,1,https://scikit-learn.org/stable/modules/tree.html;https://scikit-learn.org/stable/modules/tree.html;https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/modules/ensemble.html
hybrid-rrf,What does n_estimators control in RandomForestClassifier?,ensemble.html,1,https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/getting_started.html;https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/getting_started.html
hybrid-rrf,What is the difference between GradientBoostingClassifier and HistGradientBoostingClassifier?,ensemble.html,1,https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/modules/ensemble.html
hybrid-rrf,What does the learning_rate parameter do in AdaBoostClassifier?,ensemble.html,1,https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/modules/ensemble.html
hybrid-rrf,What does the C parameter control in SVC?,svm.html,1,https://scikit-learn.org/stable/modules/svm.html;https://scikit-learn.org/stable/modules/svm.html;https://scikit-learn.org/stable/modules/svm.html;https://scikit-learn.org/stable/modules/grid_search.html
hybrid-rrf,What is the rbf kernel in scikit-learn's SVC class?,svm.html,1,https://scikit-learn.org/stable/modules/svm.html;https://scikit-learn.org/stable/modules/gaussian_process.html;https://scikit-learn.org/stable/modules/svm.html;https://scikit-learn.org/stable/auto_examples/index.html
hybrid-rrf,What is the gamma parameter in an SVC with an rbf kernel?,svm.html,1,https://scikit-learn.org/stable/modules/svm.html;https://scikit-learn.org/stable/modules/svm.html;https://scikit-learn.org/stable/modules/grid_search.html;https://scikit-learn.org/stable/modules/kernel_approximation.html
hybrid-rrf,What does the loss='hinge' setting mean for SGDClassifier?,sgd.html,1,https://scikit-learn.org/stable/modules/sgd.html;https://scikit-learn.org/stable/modules/linear_model.html;https://scikit-learn.org/stable/glossary.html;https://scikit-learn.org/stable/modules/sgd.html
hybrid-rrf,What does the l1_ratio parameter control in SGDClassifier?,sgd.html,1,https://scikit-learn.org/stable/modules/sgd.html;https://scikit-learn.org/stable/modules/sgd.html;https://scikit-learn.org/stable/whats_new/v1.8.html;https://scikit-learn.org/stable/whats_new/v1.8.html
hybrid-rrf,What is the n_neighbors parameter in KNeighborsClassifier?,neighbors.html,1,https://scikit-learn.org/stable/modules/neighbors.html;https://scikit-learn.org/stable/modules/neighbors.html;https://scikit-learn.org/stable/modules/neighbors.html;https://scikit-learn.org/stable/api/index.html
hybrid-rrf,"What is the difference between GaussianNB, MultinomialNB, and BernoulliNB?",naive_bayes.html,1,https://scikit-learn.org/stable/modules/naive_bayes.html;https://scikit-learn.org/stable/modules/naive_bayes.html;https://scikit-learn.org/stable/modules/naive_bayes.html;https://scikit-learn.org/stable/modules/naive_bayes.html
hybrid-rrf,What does the alpha parameter control in Ridge regression?,linear_model.html,1,https://scikit-learn.org/stable/modules/linear_model.html;https://scikit-learn.org/stable/modules/svm.html;https://scikit-learn.org/stable/modules/linear_model.html;https://scikit-learn.org/stable/modules/linear_model.html
hybrid-rrf,What is LogisticRegressionCV in scikit-learn?,linear_model.html,,https://scikit-learn.org/stable/datasets/loading_other_datasets.html;https://scikit-learn.org/stable/auto_examples/release_highlights/plot_release_highlights_1_9_0.html;https://scikit-learn.org/stable/roadmap.html;https://scikit-learn.org/stable/glossary.html
hybrid-rrf,What does the hidden_layer_sizes parameter configure in MLPClassifier?,neural_networks_supervised.html,1,https://scikit-learn.org/stable/modules/neural_networks_supervised.html;https://scikit-learn.org/stable/modules/neural_networks_supervised.html;https://scikit-learn.org/stable/modules/neural_networks_supervised.html;https://scikit-learn.org/stable/modules/neural_networks_supervised.html
hybrid-rrf,"What activation functions does MLPClassifier support, like relu and tanh?",neural_networks_supervised.html,1,https://scikit-learn.org/stable/modules/neural_networks_supervised.html;https://scikit-learn.org/stable/modules/neural_networks_supervised.html;https://scikit-learn.org/stable/modules/neural_networks_supervised.html;https://scikit-learn.org/stable/whats_new/v1.7.html
hybrid-rrf,What is OneVsRestClassifier used for in scikit-learn?,multiclass.html,1,https://scikit-learn.org/stable/modules/multiclass.html;https://scikit-learn.org/stable/modules/multiclass.html;https://scikit-learn.org/stable/modules/multiclass.html;https://scikit-learn.org/stable/glossary.html
hybrid-rrf,What is CalibratedClassifierCV used for?,calibration.html,1,https://scikit-learn.org/stable/modules/calibration.html;https://scikit-learn.org/stable/modules/calibration.html;https://scikit-learn.org/stable/glossary.html;https://scikit-learn.org/stable/modules/calibration.html
hybrid-rrf,What is the difference between sigmoid and isotonic calibration methods?,calibration.html,1,https://scikit-learn.org/stable/modules/calibration.html;https://scikit-learn.org/stable/modules/calibration.html;https://scikit-learn.org/stable/modules/calibration.html;https://scikit-learn.org/stable/modules/calibration.html
hybrid-rrf,What does the RFE class do in scikit-learn feature selection?,feature_selection.html,1,https://scikit-learn.org/stable/modules/feature_selection.html;https://scikit-learn.org/stable/testimonials/testimonials.html;https://scikit-learn.org/stable/testimonials/testimonials.html;https://scikit-learn.org/stable/modules/feature_selection.html
hybrid-rrf,What is SelectKBest used for in scikit-learn?,feature_selection.html,2,https://scikit-learn.org/stable/testimonials/testimonials.html;https://scikit-learn.org/stable/modules/feature_selection.html;https://scikit-learn.org/stable/testimonials/testimonials.html;https://scikit-learn.org/stable/support.html
hybrid-rrf,What is the difference between LabelPropagation and LabelSpreading?,semi_supervised.html,1,https://scikit-learn.org/stable/modules/semi_supervised.html;https://scikit-learn.org/stable/modules/semi_supervised.html;https://scikit-learn.org/stable/modules/semi_supervised.html;https://scikit-learn.org/stable/modules/neural_networks_supervised.html
