strategy,question,expected,hit_rank,retrieved_sources
vector-only,What is the difference between KNeighborsClassifier and RadiusNeighborsClassifier?,neighbors.html,1,https://scikit-learn.org/stable/modules/neighbors.html;https://scikit-learn.org/stable/modules/neighbors.html;https://scikit-learn.org/stable/modules/neighbors.html;https://scikit-learn.org/stable/modules/neighbors.html
vector-only,How do Gaussian Processes estimate prediction uncertainty?,gaussian_process.html,1,https://scikit-learn.org/stable/modules/gaussian_process.html;https://scikit-learn.org/stable/auto_examples/index.html;https://scikit-learn.org/stable/modules/gaussian_process.html;https://scikit-learn.org/stable/auto_examples/index.html
vector-only,What is a kernel function in Gaussian Process regression?,gaussian_process.html,2,https://scikit-learn.org/stable/api/index.html;https://scikit-learn.org/stable/modules/gaussian_process.html;https://scikit-learn.org/stable/modules/gaussian_process.html;https://scikit-learn.org/stable/modules/gaussian_process.html
vector-only,How does Partial Least Squares cross decomposition work?,cross_decomposition.html,1,https://scikit-learn.org/stable/modules/cross_decomposition.html;https://scikit-learn.org/stable/modules/cross_decomposition.html;https://scikit-learn.org/stable/auto_examples/index.html;https://scikit-learn.org/stable/modules/linear_model.html
vector-only,Why is Naive Bayes considered a 'naive' classifier?,naive_bayes.html,1,https://scikit-learn.org/stable/modules/naive_bayes.html;https://scikit-learn.org/stable/modules/naive_bayes.html;https://scikit-learn.org/stable/modules/naive_bayes.html;https://scikit-learn.org/stable/modules/naive_bayes.html
vector-only,What is the difference between GaussianNB and MultinomialNB?,naive_bayes.html,1,https://scikit-learn.org/stable/modules/naive_bayes.html;https://scikit-learn.org/stable/api/index.html;https://scikit-learn.org/stable/modules/naive_bayes.html;https://scikit-learn.org/stable/modules/multiclass.html
vector-only,How is a decision tree built and split at each node?,tree.html,1,https://scikit-learn.org/stable/modules/tree.html;https://scikit-learn.org/stable/modules/tree.html;https://scikit-learn.org/stable/modules/tree.html;https://scikit-learn.org/stable/modules/tree.html
vector-only,"What criteria does scikit-learn use to choose decision tree splits, like Gini impurity?",tree.html,1,https://scikit-learn.org/stable/modules/tree.html;https://scikit-learn.org/stable/modules/tree.html;https://scikit-learn.org/stable/modules/tree.html;https://scikit-learn.org/stable/modules/tree.html
vector-only,What is the max_depth parameter's effect on a decision tree?,tree.html,1,https://scikit-learn.org/stable/modules/tree.html;https://scikit-learn.org/stable/modules/tree.html;https://scikit-learn.org/stable/glossary.html;https://scikit-learn.org/stable/modules/ensemble.html
vector-only,What is a RandomForestClassifier and how does it combine multiple trees?,ensemble.html,2,https://scikit-learn.org/stable/getting_started.html;https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/getting_started.html
vector-only,How does gradient boosting build an ensemble of weak learners?,ensemble.html,1,https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/modules/ensemble.html
vector-only,How does AdaBoost reweight misclassified samples between iterations?,ensemble.html,1,https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/glossary.html;https://scikit-learn.org/stable/glossary.html
vector-only,How does a VotingClassifier combine predictions from multiple models?,ensemble.html,1,https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/glossary.html;https://scikit-learn.org/stable/modules/ensemble.html
vector-only,How does scikit-learn handle multiclass classification with One-vs-Rest?,multiclass.html,2,https://scikit-learn.org/stable/glossary.html;https://scikit-learn.org/stable/modules/multiclass.html;https://scikit-learn.org/stable/modules/multiclass.html;https://scikit-learn.org/stable/glossary.html
vector-only,What is the difference between multiclass and multilabel classification?,multiclass.html,1,https://scikit-learn.org/stable/modules/multiclass.html;https://scikit-learn.org/stable/glossary.html;https://scikit-learn.org/stable/modules/multiclass.html;https://scikit-learn.org/stable/modules/multiclass.html
vector-only,How does univariate feature selection choose which features to keep?,feature_selection.html,1,https://scikit-learn.org/stable/modules/feature_selection.html;https://scikit-learn.org/stable/modules/feature_selection.html;https://scikit-learn.org/stable/modules/feature_selection.html;https://scikit-learn.org/stable/modules/feature_selection.html
vector-only,What is Recursive Feature Elimination (RFE)?,feature_selection.html,1,https://scikit-learn.org/stable/modules/feature_selection.html;https://scikit-learn.org/stable/modules/feature_selection.html;https://scikit-learn.org/stable/modules/feature_selection.html;https://scikit-learn.org/stable/modules/feature_selection.html
vector-only,How does semi-supervised learning use unlabeled data during training?,semi_supervised.html,1,https://scikit-learn.org/stable/modules/semi_supervised.html;https://scikit-learn.org/stable/modules/semi_supervised.html;https://scikit-learn.org/stable/auto_examples/index.html;https://scikit-learn.org/stable/glossary.html
vector-only,What is label propagation in semi-supervised learning?,semi_supervised.html,1,https://scikit-learn.org/stable/modules/semi_supervised.html;https://scikit-learn.org/stable/modules/semi_supervised.html;https://scikit-learn.org/stable/modules/semi_supervised.html;https://scikit-learn.org/stable/auto_examples/index.html
vector-only,How does isotonic regression fit a non-decreasing function to data?,isotonic.html,1,https://scikit-learn.org/stable/modules/isotonic.html;https://scikit-learn.org/stable/modules/isotonic.html;https://scikit-learn.org/stable/modules/calibration.html;https://scikit-learn.org/stable/modules/calibration.html
vector-only,Why would you calibrate a classifier's predicted probabilities?,calibration.html,1,https://scikit-learn.org/stable/modules/calibration.html;https://scikit-learn.org/stable/modules/calibration.html;https://scikit-learn.org/stable/modules/calibration.html;https://scikit-learn.org/stable/modules/calibration.html
vector-only,What is the difference between Platt scaling and isotonic calibration?,calibration.html,1,https://scikit-learn.org/stable/modules/calibration.html;https://scikit-learn.org/stable/modules/calibration.html;https://scikit-learn.org/stable/modules/svm.html;https://scikit-learn.org/stable/modules/calibration.html
vector-only,How does a multi-layer perceptron classifier learn non-linear decision boundaries?,neural_networks_supervised.html,1,https://scikit-learn.org/stable/modules/neural_networks_supervised.html;https://scikit-learn.org/stable/modules/neural_networks_supervised.html;https://scikit-learn.org/stable/modules/neural_networks_supervised.html;https://scikit-learn.org/stable/auto_examples/index.html
vector-only,What activation functions are available in MLPClassifier?,neural_networks_supervised.html,1,https://scikit-learn.org/stable/modules/neural_networks_supervised.html;https://scikit-learn.org/stable/modules/neural_networks_supervised.html;https://scikit-learn.org/stable/modules/neural_networks_supervised.html;https://scikit-learn.org/stable/modules/multiclass.html
fts-only,What is the difference between Ridge and Lasso regression regularization?,linear_model.html,,https://scikit-learn.org/stable/modules/sgd.html;https://scikit-learn.org/stable/modules/sgd.html
fts-only,How does logistic regression estimate class probabilities?,linear_model.html,,https://scikit-learn.org/stable/modules/svm.html
fts-only,How does ElasticNet combine L1 and L2 penalties?,linear_model.html,,https://scikit-learn.org/stable/modules/sgd.html
fts-only,How does Linear Discriminant Analysis use class covariance to separate classes?,lda_qda.html,1,https://scikit-learn.org/stable/modules/lda_qda.html
fts-only,What is the difference between LDA and QDA classifiers?,lda_qda.html,,
fts-only,How does kernel ridge regression combine ridge regression with the kernel trick?,kernel_ridge.html,1,https://scikit-learn.org/stable/modules/kernel_ridge.html
fts-only,How does a Support Vector Machine find the maximum margin hyperplane?,svm.html,,
fts-only,What is the role of the C parameter in SVM classification?,svm.html,,
fts-only,What kernels are available for SVC and how do they differ?,svm.html,,
fts-only,How does Stochastic Gradient Descent update model weights per sample?,sgd.html,,
fts-only,What loss functions can SGDClassifier use?,sgd.html,2,https://scikit-learn.org/stable/modules/linear_model.html;https://scikit-learn.org/stable/modules/sgd.html;https://scikit-learn.org/stable/modules/sgd.html;https://scikit-learn.org/stable/modules/sgd.html
fts-only,How does K-Nearest Neighbors classify a new sample?,neighbors.html,,
fts-only,What is the difference between KNeighborsClassifier and RadiusNeighborsClassifier?,neighbors.html,1,https://scikit-learn.org/stable/modules/neighbors.html
fts-only,How do Gaussian Processes estimate prediction uncertainty?,gaussian_process.html,,
fts-only,What is a kernel function in Gaussian Process regression?,gaussian_process.html,1,https://scikit-learn.org/stable/modules/gaussian_process.html;https://scikit-learn.org/stable/user_guide.html;https://scikit-learn.org/stable/supervised_learning.html;https://scikit-learn.org/stable/modules/gaussian_process.html
fts-only,How does Partial Least Squares cross decomposition work?,cross_decomposition.html,,
fts-only,Why is Naive Bayes considered a 'naive' classifier?,naive_bayes.html,,
fts-only,What is the difference between GaussianNB and MultinomialNB?,naive_bayes.html,,
fts-only,How is a decision tree built and split at each node?,tree.html,,
fts-only,"What criteria does scikit-learn use to choose decision tree splits, like Gini impurity?",tree.html,,
fts-only,What is the max_depth parameter's effect on a decision tree?,tree.html,,
fts-only,What is a RandomForestClassifier and how does it combine multiple trees?,ensemble.html,,
fts-only,How does gradient boosting build an ensemble of weak learners?,ensemble.html,,
fts-only,How does AdaBoost reweight misclassified samples between iterations?,ensemble.html,,
fts-only,How does a VotingClassifier combine predictions from multiple models?,ensemble.html,,
fts-only,How does scikit-learn handle multiclass classification with One-vs-Rest?,multiclass.html,,https://scikit-learn.org/stable/glossary.html
fts-only,What is the difference between multiclass and multilabel classification?,multiclass.html,1,https://scikit-learn.org/stable/modules/multiclass.html;https://scikit-learn.org/stable/modules/multiclass.html;https://scikit-learn.org/stable/modules/multiclass.html;https://scikit-learn.org/stable/glossary.html
fts-only,How does univariate feature selection choose which features to keep?,feature_selection.html,,
fts-only,What is Recursive Feature Elimination (RFE)?,feature_selection.html,1,https://scikit-learn.org/stable/modules/feature_selection.html;https://scikit-learn.org/stable/api/index.html;https://scikit-learn.org/stable/modules/feature_selection.html
fts-only,How does semi-supervised learning use unlabeled data during training?,semi_supervised.html,2,https://scikit-learn.org/stable/glossary.html;https://scikit-learn.org/stable/modules/semi_supervised.html;https://scikit-learn.org/stable/modules/semi_supervised.html;https://scikit-learn.org/stable/modules/semi_supervised.html
fts-only,What is label propagation in semi-supervised learning?,semi_supervised.html,4,https://scikit-learn.org/stable/auto_examples/index.html;https://scikit-learn.org/stable/supervised_learning.html;https://scikit-learn.org/stable/user_guide.html;https://scikit-learn.org/stable/modules/semi_supervised.html
fts-only,How does isotonic regression fit a non-decreasing function to data?,isotonic.html,1,https://scikit-learn.org/stable/modules/isotonic.html
fts-only,Why would you calibrate a classifier's predicted probabilities?,calibration.html,1,https://scikit-learn.org/stable/modules/calibration.html
fts-only,What is the difference between Platt scaling and isotonic calibration?,calibration.html,,
fts-only,How does a multi-layer perceptron classifier learn non-linear decision boundaries?,neural_networks_supervised.html,,
fts-only,What activation functions are available in MLPClassifier?,neural_networks_supervised.html,,
hybrid-rrf,What is the difference between Ridge and Lasso regression regularization?,linear_model.html,4,https://scikit-learn.org/stable/modules/sgd.html;https://scikit-learn.org/stable/auto_examples/index.html;https://scikit-learn.org/stable/modules/sgd.html;https://scikit-learn.org/stable/modules/linear_model.html
hybrid-rrf,How does logistic regression estimate class probabilities?,linear_model.html,3,https://scikit-learn.org/stable/modules/svm.html;https://scikit-learn.org/stable/glossary.html;https://scikit-learn.org/stable/modules/linear_model.html;https://scikit-learn.org/stable/modules/ensemble.html
hybrid-rrf,How does ElasticNet combine L1 and L2 penalties?,linear_model.html,3,https://scikit-learn.org/stable/modules/sgd.html;https://scikit-learn.org/stable/faq.html;https://scikit-learn.org/stable/modules/linear_model.html;https://scikit-learn.org/stable/modules/linear_model.html
hybrid-rrf,How does Linear Discriminant Analysis use class covariance to separate classes?,lda_qda.html,1,https://scikit-learn.org/stable/modules/lda_qda.html;https://scikit-learn.org/stable/modules/lda_qda.html;https://scikit-learn.org/stable/modules/lda_qda.html;https://scikit-learn.org/stable/auto_examples/index.html
hybrid-rrf,What is the difference between LDA and QDA classifiers?,lda_qda.html,1,https://scikit-learn.org/stable/modules/lda_qda.html;https://scikit-learn.org/stable/modules/lda_qda.html;https://scikit-learn.org/stable/modules/lda_qda.html;https://scikit-learn.org/stable/modules/lda_qda.html
hybrid-rrf,How does kernel ridge regression combine ridge regression with the kernel trick?,kernel_ridge.html,1,https://scikit-learn.org/stable/modules/kernel_ridge.html;https://scikit-learn.org/stable/modules/linear_model.html;https://scikit-learn.org/stable/modules/linear_model.html;https://scikit-learn.org/stable/modules/linear_model.html
hybrid-rrf,How does a Support Vector Machine find the maximum margin hyperplane?,svm.html,1,https://scikit-learn.org/stable/modules/svm.html;https://scikit-learn.org/stable/auto_examples/index.html;https://scikit-learn.org/stable/modules/svm.html;https://scikit-learn.org/stable/auto_examples/index.html
hybrid-rrf,What is the role of the C parameter in SVM classification?,svm.html,1,https://scikit-learn.org/stable/modules/svm.html;https://scikit-learn.org/stable/modules/svm.html;https://scikit-learn.org/stable/modules/svm.html;https://scikit-learn.org/stable/modules/svm.html
hybrid-rrf,What kernels are available for SVC and how do they differ?,svm.html,3,https://scikit-learn.org/stable/modules/gaussian_process.html;https://scikit-learn.org/stable/modules/kernel_ridge.html;https://scikit-learn.org/stable/modules/svm.html;https://scikit-learn.org/stable/auto_examples/index.html
hybrid-rrf,How does Stochastic Gradient Descent update model weights per sample?,sgd.html,3,https://scikit-learn.org/stable/modules/linear_model.html;https://scikit-learn.org/stable/glossary.html;https://scikit-learn.org/stable/modules/sgd.html;https://scikit-learn.org/stable/modules/neural_networks_supervised.html
hybrid-rrf,What loss functions can SGDClassifier use?,sgd.html,1,https://scikit-learn.org/stable/modules/sgd.html;https://scikit-learn.org/stable/modules/sgd.html;https://scikit-learn.org/stable/modules/sgd.html;https://scikit-learn.org/stable/modules/linear_model.html
hybrid-rrf,How does K-Nearest Neighbors classify a new sample?,neighbors.html,1,https://scikit-learn.org/stable/modules/neighbors.html;https://scikit-learn.org/stable/modules/neighbors.html;https://scikit-learn.org/stable/modules/neighbors.html;https://scikit-learn.org/stable/modules/neighbors.html
hybrid-rrf,What is the difference between KNeighborsClassifier and RadiusNeighborsClassifier?,neighbors.html,1,https://scikit-learn.org/stable/modules/neighbors.html;https://scikit-learn.org/stable/modules/neighbors.html;https://scikit-learn.org/stable/modules/neighbors.html;https://scikit-learn.org/stable/modules/neighbors.html
hybrid-rrf,How do Gaussian Processes estimate prediction uncertainty?,gaussian_process.html,1,https://scikit-learn.org/stable/modules/gaussian_process.html;https://scikit-learn.org/stable/auto_examples/index.html;https://scikit-learn.org/stable/modules/gaussian_process.html;https://scikit-learn.org/stable/auto_examples/index.html
hybrid-rrf,What is a kernel function in Gaussian Process regression?,gaussian_process.html,1,https://scikit-learn.org/stable/modules/gaussian_process.html;https://scikit-learn.org/stable/modules/gaussian_process.html;https://scikit-learn.org/stable/user_guide.html;https://scikit-learn.org/stable/supervised_learning.html
hybrid-rrf,How does Partial Least Squares cross decomposition work?,cross_decomposition.html,1,https://scikit-learn.org/stable/modules/cross_decomposition.html;https://scikit-learn.org/stable/modules/cross_decomposition.html;https://scikit-learn.org/stable/auto_examples/index.html;https://scikit-learn.org/stable/modules/linear_model.html
hybrid-rrf,Why is Naive Bayes considered a 'naive' classifier?,naive_bayes.html,1,https://scikit-learn.org/stable/modules/naive_bayes.html;https://scikit-learn.org/stable/modules/naive_bayes.html;https://scikit-learn.org/stable/modules/naive_bayes.html;https://scikit-learn.org/stable/modules/naive_bayes.html
hybrid-rrf,What is the difference between GaussianNB and MultinomialNB?,naive_bayes.html,1,https://scikit-learn.org/stable/modules/naive_bayes.html;https://scikit-learn.org/stable/api/index.html;https://scikit-learn.org/stable/modules/naive_bayes.html;https://scikit-learn.org/stable/modules/multiclass.html
hybrid-rrf,How is a decision tree built and split at each node?,tree.html,1,https://scikit-learn.org/stable/modules/tree.html;https://scikit-learn.org/stable/modules/tree.html;https://scikit-learn.org/stable/modules/tree.html;https://scikit-learn.org/stable/modules/tree.html
hybrid-rrf,"What criteria does scikit-learn use to choose decision tree splits, like Gini impurity?",tree.html,1,https://scikit-learn.org/stable/modules/tree.html;https://scikit-learn.org/stable/modules/tree.html;https://scikit-learn.org/stable/modules/tree.html;https://scikit-learn.org/stable/modules/tree.html
hybrid-rrf,What is the max_depth parameter's effect on a decision tree?,tree.html,1,https://scikit-learn.org/stable/modules/tree.html;https://scikit-learn.org/stable/modules/tree.html;https://scikit-learn.org/stable/glossary.html;https://scikit-learn.org/stable/modules/ensemble.html
hybrid-rrf,What is a RandomForestClassifier and how does it combine multiple trees?,ensemble.html,2,https://scikit-learn.org/stable/getting_started.html;https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/getting_started.html
hybrid-rrf,How does gradient boosting build an ensemble of weak learners?,ensemble.html,1,https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/modules/ensemble.html
hybrid-rrf,How does AdaBoost reweight misclassified samples between iterations?,ensemble.html,1,https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/glossary.html;https://scikit-learn.org/stable/glossary.html
hybrid-rrf,How does a VotingClassifier combine predictions from multiple models?,ensemble.html,1,https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/modules/ensemble.html;https://scikit-learn.org/stable/glossary.html;https://scikit-learn.org/stable/modules/ensemble.html
hybrid-rrf,How does scikit-learn handle multiclass classification with One-vs-Rest?,multiclass.html,2,https://scikit-learn.org/stable/glossary.html;https://scikit-learn.org/stable/modules/multiclass.html;https://scikit-learn.org/stable/modules/multiclass.html;https://scikit-learn.org/stable/glossary.html
hybrid-rrf,What is the difference between multiclass and multilabel classification?,multiclass.html,1,https://scikit-learn.org/stable/modules/multiclass.html;https://scikit-learn.org/stable/glossary.html;https://scikit-learn.org/stable/modules/multiclass.html;https://scikit-learn.org/stable/modules/multiclass.html
hybrid-rrf,How does univariate feature selection choose which features to keep?,feature_selection.html,1,https://scikit-learn.org/stable/modules/feature_selection.html;https://scikit-learn.org/stable/modules/feature_selection.html;https://scikit-learn.org/stable/modules/feature_selection.html;https://scikit-learn.org/stable/modules/feature_selection.html
hybrid-rrf,What is Recursive Feature Elimination (RFE)?,feature_selection.html,1,https://scikit-learn.org/stable/modules/feature_selection.html;https://scikit-learn.org/stable/modules/feature_selection.html;https://scikit-learn.org/stable/api/index.html;https://scikit-learn.org/stable/modules/feature_selection.html
hybrid-rrf,How does semi-supervised learning use unlabeled data during training?,semi_supervised.html,1,https://scikit-learn.org/stable/modules/semi_supervised.html;https://scikit-learn.org/stable/modules/semi_supervised.html;https://scikit-learn.org/stable/glossary.html;https://scikit-learn.org/stable/modules/semi_supervised.html
hybrid-rrf,What is label propagation in semi-supervised learning?,semi_supervised.html,2,https://scikit-learn.org/stable/auto_examples/index.html;https://scikit-learn.org/stable/modules/semi_supervised.html;https://scikit-learn.org/stable/modules/semi_supervised.html;https://scikit-learn.org/stable/api/index.html
hybrid-rrf,How does isotonic regression fit a non-decreasing function to data?,isotonic.html,1,https://scikit-learn.org/stable/modules/isotonic.html;https://scikit-learn.org/stable/modules/isotonic.html;https://scikit-learn.org/stable/modules/calibration.html;https://scikit-learn.org/stable/modules/calibration.html
hybrid-rrf,Why would you calibrate a classifier's predicted probabilities?,calibration.html,1,https://scikit-learn.org/stable/modules/calibration.html;https://scikit-learn.org/stable/modules/calibration.html;https://scikit-learn.org/stable/modules/calibration.html;https://scikit-learn.org/stable/modules/calibration.html
hybrid-rrf,What is the difference between Platt scaling and isotonic calibration?,calibration.html,1,https://scikit-learn.org/stable/modules/calibration.html;https://scikit-learn.org/stable/modules/calibration.html;https://scikit-learn.org/stable/modules/svm.html;https://scikit-learn.org/stable/modules/calibration.html
hybrid-rrf,How does a multi-layer perceptron classifier learn non-linear decision boundaries?,neural_networks_supervised.html,1,https://scikit-learn.org/stable/modules/neural_networks_supervised.html;https://scikit-learn.org/stable/modules/neural_networks_supervised.html;https://scikit-learn.org/stable/modules/neural_networks_supervised.html;https://scikit-learn.org/stable/auto_examples/index.html
hybrid-rrf,What activation functions are available in MLPClassifier?,neural_networks_supervised.html,1,https://scikit-learn.org/stable/modules/neural_networks_supervised.html;https://scikit-learn.org/stable/modules/neural_networks_supervised.html;https://scikit-learn.org/stable/modules/neural_networks_supervised.html;https://scikit-learn.org/stable/modules/multiclass.html
